a8, b6, c8, a7, c8, b6, d5, b6, a8, 
a8, b6, c8, a7, c8, e7, d5, c7, a8, 
a8, b6, c8, a7, c8, e7, d5, b6, a8, 
a8, b6, c8, a7, c8, e7, c8, b6, a8, 
a8, b6, c8, a7, c8, a7, b5, c7, a8, 
a8, b6, c8, a7, c8, a7, c8, b6, a8, 
a8, b6, c8, a7, c6, d8, e6, c7, a8, 
a8, b6, c8, a7, c6, d4, e6, c7, a8, 
a8, b6, c8, a7, c6, d4, b5, c7, a8, 
a8, b6, c8, a7, c6, b8, a6, c7, a8, 
a8, b6, c8, a7, c6, b8, d7, b6, a8, 
a8, b6, c8, a7, c6, b4, a6, c7, a8, 
a8, b6, c8, a7, c6, b4, d5, c7, a8, 
a8, b6, c8, a7, c6, b4, d5, b6, a8, 
a8, b6, c8, a7, c6, e7, d5, c7, a8, 
a8, b6, c8, a7, c6, e7, d5, b6, a8, 
a8, b6, c8, a7, c6, e7, c8, b6, a8, 
a8, b6, c8, a7, c6, e5, d7, b6, a8, 
a8, b6, c8, a7, c6, e5, c4, b6, a8, 
a8, b6, c8, a7, c6, a7, b5, c7, a8, 
a8, b6, c8, a7, c6, a7, c8, b6, a8, 
a8, b6, c8, a7, c6, a5, c4, b6, a8, 
a8, b6, c4, d6, e8, f6, e8, c7, a8, 
a8, b6, c4, d6, e8, f6, d7, b6, a8, 
a8, b6, c4, d6, e8, f6, d5, c7, a8, 
a8, b6, c4, d6, e8, f6, d5, b6, a8, 
a8, b6, c4, d6, e8, d6, e8, c7, a8, 
a8, b6, c4, d6, e8, d6, c8, b6, a8, 
a8, b6, c4, d6, e8, d6, c4, b6, a8, 
a8, b6, c4, d6, e8, d6, b5, c7, a8, 
a8, b6, c4, d6, e8, g7, e8, c7, a8, 
a8, b6, c4, d6, e8, g7, e6, c7, a8, 
a8, b6, c4, d6, e8, c7, d5, c7, a8, 
a8, b6, c4, d6, e8, c7, d5, b6, a8, 
a8, b6, c4, d6, e8, c7, b5, c7, a8, 
a8, b6, c4, d6, e8, c7, e8, c7, a8, 
a8, b6, c4, d6, e8, c7, e6, c7, a8, 
a8, b6, c4, d6, e8, c7, a8, b6, a8, 
a8, b6, c4, d6, e8, c7, a8, c7, a8, 
a8, b6, c4, d6, e8, c7, a6, c7, a8, 
a8, b6, c4, d6, e4, f6, e8, c7, a8, 
a8, b6, c4, d6, e4, f6, d7, b6, a8, 
a8, b6, c4, d6, e4, f6, d5, c7, a8, 
a8, b6, c4, d6, e4, f6, d5, b6, a8, 
a8, b6, c4, d6, e4, d6, e8, c7, a8, 
a8, b6, c4, d6, e4, d6, c8, b6, a8, 
a8, b6, c4, d6, e4, d6, c4, b6, a8, 
a8, b6, c4, d6, e4, d6, b5, c7, a8, 
a8, b6, c4, d6, e4, d2, c4, b6, a8, 
a8, b6, c4, d6, e4, g5, e6, c7, a8, 
a8, b6, c4, d6, e4, c5, d7, b6, a8, 
a8, b6, c4, d6, e4, c5, e6, c7, a8, 
a8, b6, c4, d6, e4, c5, a6, c7, a8, 
